,transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
102961,2019,Xaver Schlager,RB Salzburg,Bundesliga,VfL Wolfsburg,Bundesliga,13000000.0,13000000,Midfielder,1997,22
102962,2019,Edson Álvarez,América,Liga MX Clausura,Ajax,Eredivisie,13000000.0,6000000,Midfielder,1998,21
102964,2019,Raúl de Tomás,Benfica,Liga NOS,Espanyol,LaLiga,20000000.0,13000000,Forward,1995,24
102965,2019,Victor Osimhen,RSC Charleroi,Jupiler Pro League,LOSC Lille,Ligue 1,20000000.0,11000000,Forward,1999,20
102966,2019,Neal Maupay,Brentford,Championship,Brighton,Premier League,20000000.0,10000000,Forward,1996,23
102967,2019,Danny Ings,Liverpool,Premier League,Southampton,Premier League,19000000.0,13000000,Forward,1992,27
102970,2019,Jarrod Bowen,Hull City,Championship,West Ham,Premier League,19000000.0,9000000,Defender,1997,22
102972,2019,Kasper Dolberg,Ajax,Eredivisie,OGC Nice,Ligue 1,18000000.0,16000000,Forward,1997,22
102973,2019,Luis Muriel,Sevilla FC,LaLiga,Atalanta,Serie A,18000000.0,11000000,Forward,1991,28
102974,2019,Dodi Lukebakio,Watford,Premier League,Hertha BSC,Bundesliga,18000000.0,16000000,Defender,1997,22
102977,2019,Youssef En-Nesyri,CD Leganés,LaLiga,Sevilla FC,LaLiga,18000000.0,10000000,Forward,1997,22
102978,2019,Leandro Trossard,KRC Genk,Jupiler Pro League,Brighton,Premier League,18000000.0,14000000,Forward,1995,24
102979,2019,Ademola Lookman,Everton,Premier League,RB Leipzig,Bundesliga,16000000.0,18000000,Forward,1998,21
102980,2019,Andrea Petagna,Atalanta,Serie A,SPAL,Serie A,10000000.0,18000000,Forward,1995,24
102981,2019,João Pedro,Fluminense,Série A,Watford,Premier League,3000000.0,18000000,Forward,2001,18
102985,2019,Daniel Podence,Olympiacos,Super League 1,Wolves,Premier League,17000000.0,5000000,Forward,1996,23
102986,2019,Oliver McBurnie,Swansea,Championship,Sheff Utd,Premier League,17000000.0,7000000,Forward,1996,23
102993,2019,Mohamed Awad,Ismaily,Premier League,Zamalek,Premier League,1000000.0,1000000,Goalkeeper,1992,27
103001,2019,Kjell Scherpen,FC Emmen,Eredivisie,Ajax,Eredivisie,1000000.0,1000000,Goalkeeper,2000,19
103002,2019,Orestis Karnezis,Udinese Calcio,Serie A,SSC Napoli,Serie A,1000000.0,1000000,Goalkeeper,1985,34
103013,2019,Strahinja Pavlovic,Partizan,Super liga,Monaco,Ligue 1,9000000.0,7000000,Defender,2001,18
103014,2019,Jean Marcelin,AJ Auxerre,Ligue 2,Monaco,Ligue 1,9000000.0,1000000,Defender,2000,19
103015,2019,Arthur Zagre,Paris SG,Ligue 1,Monaco,Ligue 1,9000000.0,-1,Defender,2001,18
103016,2019,Timo Baumgartl,VfB Stuttgart,2. Bundesliga,PSV Eindhoven,Eredivisie,9000000.0,8000000,Defender,1996,23
