transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
2011,William Kvist,FC Copenhagen,Superligaen,VfB Stuttgart,Bundesliga,3000000,3000000,Midfielder,1985,26
2011,JÃ©rÃ©my ClÃ©ment,Paris SG,Ligue 1,Saint-Ã‰tienne,Ligue 1,1000000,3000000,Midfielder,1984,27
2011,Fabien Lemoine,Stade Rennais,Ligue 1,Saint-Ã‰tienne,Ligue 1,1000000,3000000,Midfielder,1987,24
2011,Ludovic Obraniak,LOSC Lille,Ligue 1,G. Bordeaux,Ligue 1,900000,3000000,Midfielder,1985,26
2011,Francesco Della Rocca,Bologna,Serie A,US Palermo,Serie A,3000000,2000000,Midfielder,1987,24
2011,Petr Jiracek,Viktoria Plzen,Fortuna Liga,VfL Wolfsburg,Bundesliga,3000000,2000000,Midfielder,1986,25
2011,Luc Castaignos,Feyenoord,Eredivisie,Inter,Serie A,1000000,4000000,Forward,1992,19
2011,Andrea Caracciolo,Brescia,Serie B,Genoa,Serie A,1000000,4000000,Forward,1981,30
2011,GÃ¶khan TÃ¶re,Chelsea Res.,Reserve League,Hamburger SV,Bundesliga,3000000,-1,Defender,1992,19
2011,Kolbeinn SigthÃ³rsson,AZ Alkmaar,Eredivisie,Ajax,Eredivisie,3000000,3000000,Forward,1990,21
2011,Nils Petersen,Energie Cottbus,2. Bundesliga,Bayern Munich ,Bundesliga,2000000,3000000,Forward,1989,22
2011,Albert Crusat,UD AlmerÃ­a,LaLiga2,Wigan,Premier League,2000000,3000000,Forward,1982,29
2011,Felix Bastians,SC Freiburg,Bundesliga,Hertha BSC,Bundesliga,90000,2000000,Defender,1988,23
2011,Michael Bradley,Bor. M'gladbach,Bundesliga,Chievo Verona,Serie A,1000000,3000000,Midfielder,1987,24
2011,Daniele Mannini,SSC Napoli,Serie A,Siena,Serie A,585000,3000000,Midfield,1984,27
2011,Darron Gibson,Man Utd,Premier League,Everton,Premier League,540000,3000000,Midfielder,1988,23
2011,Daniele Mannini,Sampdoria,Serie B,SSC Napoli,Serie A,,3000000,Midfield,1984,27
2011,Gabriel Obertan,Man Utd,Premier League,Newcastle,Premier League,3000000,2000000,Midfielder,1989,22
2011,Radosav Petrovic,Partizan,Friendlies,Blackburn,Premier League,2000000,2000000,Midfielder,1989,22
2011,Pierre-Emerick Aubameyang,AC Milan,Serie A,Saint-Ã‰tienne,Ligue 1,1000000,3000000,Forward,1989,22
2011,Mame Diouf,Man Utd,Premier League,Hannover 96,Bundesliga,1000000,3000000,Forward,1988,23
2011,Roy Beerens,Heerenveen,Eredivisie,AZ Alkmaar,Eredivisie,1000000,3000000,Defender,1988,23
2011,Danny Graham,Watford,Championship,Swansea,Premier League,3000000,1000000,Forward,1985,26
2011,Marvin Sordell,Watford,Championship,Bolton,Premier League,3000000,900000,Forward,1991,20
2011,Pascal GrÃ¼nwald,FC Wacker,Bundesliga,Austria Vienna,Bundesliga,225000,540000,Goalkeeper,1983,28
2011,Ignacio Fideleff,Newell's,Torneo Final,SSC Napoli,Serie A,1000000,630000,Defender,1989,22
