,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
810,2011,Valerica Gaman,Centre-Back,31,£1.98m,Dinamo Bucarest,Liga 1,Astra Ploiesti,Liga 1,Free transfer,https://www.transfermarkt.co.uk/valerica-gaman/profil/spieler/47576
811,2011,Daniel Pudil,Left-Back,35,£1.98m,Granada CF,LaLiga,Cesena,Serie A,Loan,https://www.transfermarkt.co.uk/daniel-pudil/profil/spieler/35583
812,2011,Fabián Monzón,Left-Back,33,£1.08m,Boca Juniors,Torneo Final,OGC Nice,Ligue 1,£1.89m,https://www.transfermarkt.co.uk/fabian-monzon/profil/spieler/67084
813,2011,Even Hovland,Centre-Back,31,£1.89m,Sogndal IL,Tippeligaen,Molde,Tippeligaen,£900Th.,https://www.transfermarkt.co.uk/even-hovland/profil/spieler/41875
814,2011,Vangelis Moras,Centre-Back,39,£1.89m,Swansea,Premier League,Cesena,Serie A,Free transfer,https://www.transfermarkt.co.uk/vangelis-moras/profil/spieler/9850
815,2011,Dárvin Chávez,Left-Back,30,£720Th.,Atlas,Primera Clausura,Monterrey,Primera Clausura,£1.80m,https://www.transfermarkt.co.uk/darvin-chavez/profil/spieler/91417
816,2011,Radosav Petrovic,Defensive Midfield,31,£2.25m,Partizan,Friendlies,Blackburn,Premier League,£2.97m,https://www.transfermarkt.co.uk/radosav-petrovic/profil/spieler/75296
817,2011,Senad Lulic,Left Midfield,34,£2.25m,BSC Young Boys,Super League,Lazio,Serie A,£2.93m,https://www.transfermarkt.co.uk/senad-lulic/profil/spieler/61449
818,2011,Albin Ekdal,Defensive Midfield,31,£2.88m,Juventus,Serie A,Cagliari Calcio,Serie A,£2.43m,https://www.transfermarkt.co.uk/albin-ekdal/profil/spieler/49275
819,2011,Adil Hermach,Defensive Midfield,34,£2.88m,Lens,Ligue 2,Hilal,Professional League,£1.53m,https://www.transfermarkt.co.uk/adil-hermach/profil/spieler/22395
820,2011,Albin Ekdal,Defensive Midfield,31,£2.88m,Bologna,Serie A,Juventus,Serie A,£1.08m,https://www.transfermarkt.co.uk/albin-ekdal/profil/spieler/49275
821,2011,Engin Baytar,Central Midfield,37,£2.88m,Trabzonspor,Süper Lig,Galatasaray,Süper Lig,£990Th.,https://www.transfermarkt.co.uk/engin-baytar/profil/spieler/8399
822,2011,Juan Albín,Attacking Midfield,34,£2.25m,Getafe,LaLiga,Espanyol,LaLiga,£2.70m,https://www.transfermarkt.co.uk/juan-albin/profil/spieler/44139
823,2011,Ljubomir Fejsa,Defensive Midfield,32,£1.80m,Partizan,Friendlies,Olympiacos,Super League,£2.70m,https://www.transfermarkt.co.uk/ljubomir-fejsa/profil/spieler/46110
824,2011,Gabi,Defensive Midfield,37,£2.70m,Real Zaragoza,LaLiga,Atlético Madrid,LaLiga,£2.70m,https://www.transfermarkt.co.uk/gabi/profil/spieler/22969
825,2011,Christian Bermúdez,Attacking Midfield,33,£2.52m,Atlante,Primera Clausura,América,Primera Clausura,£2.70m,https://www.transfermarkt.co.uk/christian-bermudez/profil/spieler/55303
826,2011,Jesús Dátolo,Attacking Midfield,36,£2.70m,Espanyol,LaLiga,Internacional,Série A,£2.70m,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714/saison_id/2011
827,2011,Egidio Arévalo Ríos,Defensive Midfield,38,£2.70m,Botafogo,Série A,Club Tijuana,Primera Clausura,£2.52m,https://www.transfermarkt.co.uk/botafogo-fr-rio-de-janeiro/startseite/verein/537/saison_id/2011
828,2011,Kévin Anin,Central Midfield,34,£2.70m,FC Sochaux,Ligue 1,OGC Nice,Ligue 1,£2.25m,https://www.transfermarkt.co.uk/fc-sochaux-montbeliard/startseite/verein/750/saison_id/2011
829,2011,Enzo Pérez,Defensive Midfield,34,£2.70m,Estudiantes,Torneo Final,Benfica,Liga NOS,£2.16m,https://www.transfermarkt.co.uk/estudiantes-de-la-plata/startseite/verein/288/saison_id/2011
830,2011,Mathieu Coutadeur,Central Midfield,34,£2.70m,Monaco,Ligue 2,FC Lorient,Ligue 1,£1.80m,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162/saison_id/2011
831,2011,Christian Grindheim,Central Midfield,37,£2.70m,Heerenveen,Eredivisie,FC Copenhagen,Superligaen,£675Th.,https://www.transfermarkt.co.uk/sc-heerenveen/startseite/verein/306/saison_id/2011
832,2011,Franco Zuculini,Central Midfield,30,£2.70m,TSG Hoffenheim,Bundesliga,Real Zaragoza,LaLiga,Loan fee:,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2011
833,2011,Andreas Ivanschitz,Attacking Midfield,36,£2.70m,Panathinaikos,Super League,1.FSV Mainz 05,Bundesliga,£180Th.,https://www.transfermarkt.co.uk/panathinaikos-athen/startseite/verein/265/saison_id/2011
834,2011,Cristian Riveros,Defensive Midfield,37,£2.70m,Sunderland,Premier League,Kayserispor,Süper Lig,Loan fee:,https://www.transfermarkt.co.uk/afc-sunderland/startseite/verein/289/saison_id/2011
835,2011,Mikkel Thygesen,Central Midfield,35,£2.70m,FC Midtjylland,Superligaen,Bröndby IF,Superligaen,Free transfer,https://www.transfermarkt.co.uk/fc-midtjylland/startseite/verein/865/saison_id/2011
836,2011,Mehdi Lacen,Defensive Midfield,36,£2.70m,Racing,LaLiga,Getafe,LaLiga,Free transfer,https://www.transfermarkt.co.uk/racing-santander/startseite/verein/630/saison_id/2011
